lambdaBS,lambdaSC,numCPE,lambdaUE,deployRange,r_min_cell,r_min_FWA,num_rep,rep_gain,GroupCount,mean_max_FWA,std_max_FWA,median_max_FWA,mean_Band,std_Band,median_Band,mean_Band_FWA,std_Band_FWA,median_Band_FWA,mean_cell_se,std_cell_se,median_cell_se,mean_FWA_se,std_FWA_se,median_FWA_se
5,0,50,1000,200,35000000,300000000,2,60,99,18.2929292929293,4.15577425987398,18,80000000,0,80000000,78393825.9511024,38430.5765253722,78392333.1761,2068.92288654545,32.7732927296241,2067.161595,14.0294802828283,2.38189752707677,13.331898
5,0,50,1000,200,35000000,300000000,2,70,99,18.2929292929293,4.0057421164015,18,80000000,0,80000000,78409645.7298964,36448.5580877829,78413827.679133,2087.3977400505,32.8006384676302,2086.585065,14.0380904343434,2.43030757184819,13.624998
5,0,50,1000,200,35000000,300000000,3,10,99,18.3838383838384,4.10004248536243,18,80000000,0,80000000,78201006.4422852,49577.4026793701,78209697.531987,1867.06793024242,31.7078155558601,1866.173877,14.0179577070707,2.37295364068112,13.648149
5,0,50,1000,200,35000000,300000000,3,20,99,18.4343434343434,4.11607504781153,18,80000000,0,80000000,78292111.302536,42246.372953267,78290083.647572,1950.52884294949,31.7818877376074,1948.054761,13.941430989899,2.39352793102967,13.474354
5,0,50,1000,200,35000000,300000000,3,30,99,18.3333333333333,3.96154989253201,18,80000000,0,80000000,78340277.637152,40813.3253480886,78341710.521355,1999.18599720202,31.8522720503864,1995.459271,13.9892898282828,2.35219549332515,13.553092
5,0,50,1000,200,35000000,300000000,3,40,99,18.0707070707071,4.07394039122764,18,80000000,0,80000000,78373496.8128719,38085.6857333559,78375736.753471,2035.48139025253,32.1252710586101,2032.111391,14.1243821414141,2.44332188871549,13.666702
5,0,50,1000,200,35000000,300000000,3,50,99,18.2424242424242,4.0332569233832,18,80000000,0,80000000,78395108.9605877,38894.0334857877,78394935.154517,2062.29339734343,31.3197071832985,2061.295004,14.0122982929293,2.35352586062388,13.723568
5,0,50,1000,200,35000000,300000000,3,60,99,18.1717171717172,4.00774862760242,18,80000000,0,80000000,78413099.4195466,36978.1162331183,78414402.016546,2083.74866715152,32.0277005701474,2081.885693,14.0001074040404,2.43963895501371,13.496503
5,0,50,1000,200,35000000,300000000,3,70,99,18.2626262626263,4.0597221644803,18,80000000,0,80000000,78431604.5763401,35249.6489874485,78433939.921643,2103.09603022222,31.8277344997116,2099.845985,14.0211588686869,2.37316033676457,13.495275
5,0,50,1000,200,35000000,300000000,4,10,99,18.2121212121212,4.1410654432846,18,80000000,0,80000000,78219374.4330303,45609.7769548887,78225146.835999,1874.14267422222,31.1867283749188,1873.372647,14.0721318989899,2.43667500145356,13.552953
5,0,50,1000,200,35000000,300000000,4,20,99,18.2020202020202,3.99739659661237,18,80000000,0,80000000,78304767.4544703,39621.6934680073,78310289.837897,1958.1201039899,32.3240870846101,1956.775467,14.0446302626263,2.37774958065083,13.480241
5,0,50,1000,200,35000000,300000000,4,30,99,18.1212121212121,4.18762201107104,18,80000000,0,80000000,78352124.5562949,39501.0775664906,78355885.524792,2007.30961328283,31.6567760365415,2006.735803,14.1237238989899,2.40586319731901,13.655033
5,0,50,1000,200,35000000,300000000,4,40,99,18.3939393939394,4.12760290621463,18,80000000,0,80000000,78383736.960622,36141.540543264,78384067.871687,2042.76208086869,30.9949912334435,2039.524686,14.0091605454545,2.36258807662918,13.56492
