lambdaBS,lambdaSC,numCPE,lambdaUE,deployRange,r_min_cell,r_min_FWA,num_rep,rep_gain,GroupCount,mean_max_FWA,std_max_FWA,median_max_FWA,mean_Band,std_Band,median_Band,mean_Band_FWA,std_Band_FWA,median_Band_FWA,mean_cell_se,std_cell_se,median_cell_se,mean_FWA_se,std_FWA_se,median_FWA_se
5,0,50,200,200,35000000,275000000,2,20,99,22.9292929292929,6.00722783234025,23,80000000,0,80000000,78278008.2402644,61450.4995229453,78283835.080985,415.600594373737,10.4443346663893,415.626321,12.0776358080808,2.02054547010923,11.836335
5,0,50,200,200,35000000,300000000,2,20,99,18.8484848484848,4.66721880292321,19,80000000,0,80000000,78278008.2402644,61450.4995229453,78283835.080985,415.600594373737,10.4443346663893,415.626321,13.8347676060606,2.54240068440065,13.245808
5,0,50,400,200,35000000,25000000,2,20,99,100,0,100,80000000,0,80000000,78272936.0527796,50141.6420111912,78270617.779095,782.812180414141,15.3637378068772,784.976917,3.49195621212121,0.332509936049892,3.571189
5,0,50,400,200,35000000,50000000,2,20,99,100,0,100,80000000,0,80000000,78272936.0527796,50141.6420111912,78270617.779095,782.812180414141,15.3637378068772,784.976917,3.36993503030303,0.329173142401997,3.39739
5,0,50,400,200,35000000,75000000,2,20,99,100,0,100,80000000,0,80000000,78272936.0527796,50141.6420111912,78270617.779095,782.812180414141,15.3637378068772,784.976917,3.28723052525253,0.343741381114193,3.288824
5,0,50,400,200,35000000,100000000,2,20,99,99.3737373737374,1.96700258129303,100,80000000,0,80000000,78272936.0527796,50141.6420111912,78270617.779095,782.812180414141,15.3637378068772,784.976917,3.24674329292929,0.317805986242706,3.248392
5,0,50,400,200,35000000,125000000,2,20,99,92.4747474747475,8.168310387004,95,80000000,0,80000000,78272936.0527796,50141.6420111912,78270617.779095,782.812180414141,15.3637378068772,784.976917,3.42510687878788,0.284529160212499,3.390948
5,0,50,400,200,35000000,150000000,2,20,99,75.0505050505051,10.8640708510487,77,80000000,0,80000000,78272936.0527796,50141.6420111912,78270617.779095,782.812180414141,15.3637378068772,784.976917,4.14998268686869,0.39345158572589,4.067431
5,0,50,400,200,35000000,175000000,2,20,99,56.7272727272727,12.3856551175207,57,80000000,0,80000000,78272936.0527796,50141.6420111912,78270617.779095,782.812180414141,15.3637378068772,784.976917,5.48143401010101,0.832587426669949,5.366641
5,0,50,400,200,35000000,200000000,2,20,99,42.8383838383838,10.8324032710509,42,80000000,0,80000000,78272936.0527796,50141.6420111912,78270617.779095,782.812180414141,15.3637378068772,784.976917,7.15171202020202,1.26413863302935,6.887121
5,0,50,400,200,35000000,225000000,2,20,99,32.989898989899,8.071738236152,33,80000000,0,80000000,78272936.0527796,50141.6420111912,78270617.779095,782.812180414141,15.3637378068772,784.976917,8.9164904040404,1.48558093232105,8.595565
5,0,50,400,200,35000000,250000000,2,20,99,26.010101010101,5.64330007211902,26,80000000,0,80000000,78272936.0527796,50141.6420111912,78270617.779095,782.812180414141,15.3637378068772,784.976917,10.6692944545455,1.57665951362398,10.284394
5,0,50,400,200,35000000,275000000,2,20,99,21.9191919191919,4.70925438804941,22,80000000,0,80000000,78272936.0527796,50141.6420111912,78270617.779095,782.812180414141,15.3637378068772,784.976917,12.1194183838384,1.84684952627575,11.796147
5,0,50,400,200,35000000,300000000,2,20,99,18.4646464646465,4.08159915467598,18,80000000,0,80000000,78272936.0527796,50141.6420111912,78270617.779095,782.812180414141,15.3637378068772,784.976917,13.8027216161616,2.18750838630473,13.537759
5,0,50,600,200,35000000,25000000,2,20,99,100,0,100,80000000,0,80000000,78270369.1888195,53796.033646181,78279278.582017,1195.82696236364,20.5421162407776,1195.135026,3.52107842424242,0.348486285714171,3.547315
5,0,50,600,200,35000000,50000000,2,20,99,100,0,100,80000000,0,80000000,78270369.1888195,53796.033646181,78279278.582017,1195.82696236364,20.5421162407776,1195.135026,3.39229409090909,0.340582626920282,3.428751
